Key,Type,Desc,English,French,German,Spanish,Japanese,Korean,Chinese (Simplified),Russian,Traditional Chinese,Turkish,Italian,Portuguese (Brazil)
ACHIEVEMENT_SPONGEBOB_DESCRIPTION_42,Text,NEW,Complete the Conch Street job,Terminez la mission Rue des Conques,Schieße den Schneckenstraße-Job ab,Completa el trabajo de la Calle de la Concha.,巻貝通りの作業を完了する,고둥길 작업 완료,完成海螺街的工作,Выполните задание на Ракушечной улице,完成海螺街的工作,Deniz Kabuğu Sokağı işini tamamla,Completa il lavoro in Via Conchiglia,Conclua o trabalho da Rua da Concha
ACHIEVEMENT_SPONGEBOB_DESCRIPTION_43,Text,NEW,Complete the Bikini Bottom Bus job,Terminez la mission Bus de Bikini Bottom,Schließe den Bikini-Bottom-Bus-Job ab,Completa el trabajo del autobús de Fondo de Bikini.,ビキニタウン行きのバスの作業を完了する,비키니 시티 버스 작업 완료,完成比奇堡巴士的工作,Выполните задание с автобусом Бикини Боттома,完成比奇堡公車的工作,Bikini Kasabası Otobüsü işini tamamla,Completa il lavoro dell'autobus di Bikini Bottom,Conclua o trabalho do Ônibus da Fenda do Biquíni
ACHIEVEMENT_SPONGEBOB_DESCRIPTION_44,Text,NEW,Complete the Krusty Krab job,Terminez la mission Crabe Croustillant,Schließe den Krosse-Krabbe-Job ab,Completa el trabajo del Crustáceo Crujiente.,カニカーニの作業を完了する,집게리아 작업 완료,完成蟹堡王的工作,Выполните задание в «Красти Краб»,完成蟹堡王的工作,Yengeç Restoran işini tamamla,Completa il lavoro al Krusty Krab,Conclua o trabalho do Siri Cascudo
ACHIEVEMENT_SPONGEBOB_DESCRIPTION_45,Text,NEW,Complete the Patty Wagon job,Terminez la mission Pâté buggy,Schließe den Burgermobil-Job ab,Completa el trabajo del autobúrguer.,バーガーカーの作業を完了する,패티 왜건 작업 완료,完成美味蟹堡车的工作,Выполните задание с Крабсбургеромобилем,完成美味蟹堡車的工作,Köfte Arabası işini tamamla,Completa il lavoro della Patty Mobile,Conclua o trabalho do Carro-hambúrguer
ACHIEVEMENT_SPONGEBOB_DESCRIPTION_46,Text,NEW,Complete the Invisible Boatmobile job,Terminez la mission Bateau-mobile invisible,Schließe den Unsichtbares-Bootmobil-Job ab,Completa el trabajo del botemóvil invisible.,透明ボートの作業を完了する,투명 보트 작업 완료,完成隐形超人船车的工作,Выполните задание с Невидимым лодкомобилем,完成隱形超人飛船的工作,Görünmez Teknemobil işini tamamla,Completa il lavoro della barca mobile invisibile,Conclua o trabalho do Barco-móvel Invisível
ACHIEVEMENT_SPONGEBOB_DESCRIPTION_46_ALT,Text,Below 100 characters,Complete the Mrs Puff's Boatmobile job,Terminez la mission Bateau-mobile de Madame Puff,Schließe den Mrs. Puffs Bootmobil-Job ab,Completa el trabajo del botemóvil de la Sra. Puff.,パフ先生のボートの作業を完了する,퐁퐁 부인의 보트 작업 완료,完成泡芙阿姨的船车的工作,Выполните задание с лодкомобилем миссис Пафф,完成泡芙阿姨的船車的工作,Bayan Puff'ın Teknemobili işini tamamla,Completa il lavoro della barca mobile della Signora Puff,Conclua o trabalho do Barco-móvel da Sra. Puff
ACHIEVEMENT_SPONGEBOB_DESCRIPTION_46_ALT2,Text,Below 100 characters,Complete the Police Boatmobile job,Terminez la mission Bateau-mobile de la police,Schließe den Polizei-Bootmobil-Job ab,Completa el trabajo del botemóvil de policía.,警察のボートの作業を完了する,경찰 보트 작업 완료,完成警用船车的工作,Выполните задание с полицейским лодкомобилем,完成警方飛船的工作,Polis Teknemobili işini tamamla,Completa il lavoro della barca mobile della polizia,Conclua o trabalho do Barco-móvel da Polícia
ACHIEVEMENT_SPONGEBOB_DESCRIPTION_47,Text,NEW,Complete the Mermalair job,Terminez la mission Grotte de l'Homme Sirène,Schließe den Heldenhöhle-Job ab,Completa el trabajo de la Tritocueva.,秘密基地の作業を完了する,인어맨 은신처 작업 완료,完成海山洞的工作,Выполните задание в Логове,完成海山洞的工作,Denizkızı İni işini tamamla,Completa il lavoro nella Watercaverna,Conclua o trabalho da Casa de Sereia
ACHIEVEMENT_SPONGEBOB_DESCRIPTION_48,Text,NEW,"In the Conch Street job, complete Patrick's Rock, Rock Hinge and Rock Underside last","Dans la mission Rue des Conques, terminez le rocher de Patrick, la charnière du rocher et le dessous en dernier","Schließe beim Schneckenstraße-Job Patricks Fels, Fels-Scharnier und Fels-Unterseite zuletzt ab","En el trabajo de la Calle de la Concha, limpia la roca de Patricio, la bisagra de la roca y la parte inferior de la roca en último lugar.",巻貝通りの作業で、パトリックの岩、岩のヒンジ、岩の裏を最後に洗浄する,"고둥길 작업에서 패트릭의 바위, 바위 경첩, 바위 아랫면을 가장 마지막으로 세척",在海螺街的工作中，最后洗干净派大星的房子、岩石合叶和岩石底面。,"В задании на Ракушечной улице отмойте скалу Патрика, петлю скалы и нижнюю сторону скалы в последнюю очередь",在海螺街的工作中，完成「派大星的家」的「石頭」、「石頭門軸」和「石頭底座」,"Deniz Kabuğu Sokağı işinde Patrick'in Taşını, Taş Menteşesini ve Taşın Altını en son tamamla","Nel lavoro di Via Conchiglia, completa per ultimi la Roccia di Patrick, il perno della roccia e la parte inferiore della roccia","No trabalho da Rua da Concha, conclua a Rocha de Patrick, Dobradiça da rocha e Lado inferior da rocha por último"
ACHIEVEMENT_SPONGEBOB_DESCRIPTION_48_XB,Text,NEW,"In the Conch Street job, complete Patrick's Rock, Rock Hinge and Rock Underside last","Dans la mission Rue des Conques, terminez par le rocher de Patrick, la charnière et le dessous","Schließe beim Schneckenstraße-Job Patricks Fels, Fels-Scharnier und Fels-Unterseite zuletzt ab","En la Calle de la Concha limpia la roca de Patricio, la bisagra y la parte inferior en último lugar.",巻貝通りの作業で、パトリックの岩、岩のヒンジ、岩の裏を最後に洗浄する,"고둥길 작업에서 패트릭의 바위, 바위 경첩, 바위 아랫면을 가장 마지막으로 세척",在海螺街的工作中，最后洗干净派大星的房子、岩石合叶和岩石底面。,"В задании на Ракушечной улице отмойте cкалу Патрика, петлю и нижнюю сторону в последнюю очередь",在海螺街的工作中，完成「派大星的家」的「石頭」、「石頭門軸」和「石頭底座」,"Deniz Kabuğu Sokağı işinde Patrick'in Taşını, Taş Menteşesini ve Taşın Altını en son tamamla","Termina il lavoro in Via Conchiglia con Roccia di Patrick, perno roccia e parte inferiore roccia","Na Rua da Concha, conclua a Rocha de Patrick, Dobradiça da rocha e Lado inferior da rocha por último"
