NODE NAME,GEOMETRY AREA,PIXELS AREA,TEXTURE SIZE,NEAREST POW 2,USED UV AREA,OPTIMAL DENSITY
CB-Door_0,29845.05,42635.78,282 x 282,256 x 256,0.455399,0.9069
CB-Door_1,28520.35,40743.35,282 x 282,256 x 256,0.435186,0.9068
CB-DoorHandle_0,2335.83,3336.9,98 x 98,128 x 128,0.142568,1.3036
CB-DoorHandle_1,2335.83,3336.9,98 x 98,128 x 128,0.142568,1.3016
CB-DoorWindow_0,1747.54,2496.49,50 x 50,64 x 64,0.426645,1.28
CB-DoorWindow_1,1749.43,2499.19,50 x 50,64 x 64,0.427108,1.28
CB-Floor,189384.45,270549.22,741 x 741,512 x 512,0.722444,0.6906
CB-Glove,875656.52,1250937.91,1505 x 1505,1024 x 1024,0.835091,0.6803
CB-Handle_0,81824.1,116891.58,813 x 813,1024 x 1024,0.078034,1.2588
CB-Handle_1,84907.67,121296.67,839 x 839,1024 x 1024,0.080974,1.2196
CB-HandlePin_0,15690.4,22414.86,201 x 201,256 x 256,0.239417,1.2696
CB-HandlePin_1,15309.95,21871.36,210 x 210,256 x 256,0.233611,1.2189
CB-Letter_0,16113.62,23019.46,639 x 639,512 x 512,0.061469,0.8003
CB-Letter_1,7046.7,10066.71,357 x 357,256 x 256,0.107524,0.7169
CB-Letter_2,8302.93,11861.33,377 x 377,256 x 256,0.126693,0.6773
CB-Letter_3,9328.32,13326.18,247 x 247,256 x 256,0.142339,1.0348
CB-Letter_4,13672.05,19531.49,407 x 407,512 x 512,0.052155,1.2573
CB-Letter_5,8576.84,12252.63,448 x 448,512 x 512,0.032718,1.1414
CB-Letter_6,11346.07,16208.67,533 x 533,512 x 512,0.043282,0.9589
CB-Letter_7,10517.44,15024.92,525 x 525,512 x 512,0.040121,0.9736
CB-Letter_8,8129.02,11612.89,393 x 393,512 x 512,0.03101,1.301
CB-Letter_9,7469.35,10670.5,373 x 373,256 x 256,0.113973,0.6852
CB-RimLower,58645.96,83779.94,2139 x 2139,2048 x 2048,0.013982,0.9572
CB-RimUpper,276023.27,394318.97,2588 x 2588,2048 x 2048,0.065809,0.7911
CB-Roof,480774.49,686820.71,829 x 829,1024 x 1024,0.458502,1.2352
CB-Wall_0,903039.57,1290056.55,1293 x 1293,1024 x 1024,0.861206,0.7916
CB-Wall_1,1015647.45,1450924.96,1270 x 1270,1024 x 1024,0.968597,0.806
