NODE NAME,GEOMETRY AREA,PIXELS AREA,TEXTURE SIZE,NEAREST POW 2,USED UV AREA,OPTIMAL DENSITY
KK-Arch_0,527409.4,753442.01,1754 x 1754,2048 x 2048,0.125744,1.1675
KK-Arch_1,526469.37,752099.11,1751 x 1751,2048 x 2048,0.12552,1.1695
KK-Base_0,285756.62,408223.75,1521 x 1521,1024 x 1024,0.272519,0.6732
KK-Base_1,284062.15,405803.07,1524 x 1524,1024 x 1024,0.270903,0.6719
KK-Chimney,79517.41,113596.3,338 x 338,256 x 256,1.213339,0.7574
KK-Door_0,39663.02,56661.46,295 x 295,256 x 256,0.60521,0.8669
KK-Door_1,39663.03,56661.47,295 x 295,256 x 256,0.60521,0.8669
KK-DoorFrame,51391.12,73415.88,370 x 370,256 x 256,0.784166,0.6918
KK-DoorHandle_0,2631.9,3759.85,97 x 97,128 x 128,0.160638,1.3088
KK-DoorHandle_1,2631.89,3759.85,97 x 97,128 x 128,0.160638,1.308
KK-DumpsterInner,126754.13,181077.33,774 x 774,1024 x 1024,0.120882,1.3223
KK-DumpsterLidFace_0,36220.68,51743.82,291 x 291,256 x 256,0.552684,0.8783
KK-DumpsterLidFace_1,36226.67,51752.38,291 x 291,256 x 256,0.552775,0.8782
KK-DumpsterLidRim,21104.45,30149.22,174 x 174,128 x 128,1.288114,0.7356
KK-DumpsterOuter,162427.39,232039.14,848 x 848,1024 x 1024,0.154903,1.2067
KK-DumpsterRim,30460.37,43514.81,209 x 209,256 x 256,0.464788,1.2249
KK-DumpsterWheel_0,1088.9,1555.57,40 x 40,32 x 32,1.063376,0.8
KK-DumpsterWheel_1,1085.57,1550.82,40 x 40,32 x 32,1.060131,0.8
KK-DumpsterWheel_2,1112.73,1589.61,40 x 40,32 x 32,1.086647,0.8
KK-DumpsterWheel_3,1113.81,1591.16,40 x 40,32 x 32,1.087707,0.8
KK-EntranceSignPost,21432.35,30617.64,279 x 279,256 x 256,0.327032,0.9153
KK-FlagRope,30291.78,43273.97,980 x 980,1024 x 1024,0.028888,1.0443
KK-Floor,2771324.58,3959035.18,1990 x 1990,2048 x 2048,0.660735,1.0291
KK-MaritimeFlag_0,18203.63,26005.18,162 x 162,128 x 128,1.111061,0.7901
KK-MaritimeFlag_1,18153.17,25933.11,162 x 162,128 x 128,1.107982,0.7901
KK-MaritimeFlag_2,18153.06,25932.95,162 x 162,128 x 128,1.107975,0.7901
KK-MaritimeFlag_3,18153.17,25933.11,162 x 162,128 x 128,1.107982,0.7901
KK-MaritimeFlag_4,21144.24,30206.06,174 x 174,128 x 128,1.290542,0.7356
KK-Mayo,17952.66,25646.65,168 x 168,128 x 128,1.095743,0.7591
KK-Nail_0,433.83,619.76,25 x 25,32 x 32,0.423667,1.28
KK-Nail_1,433.83,619.76,25 x 25,32 x 32,0.423667,1.28
KK-Nail_10,435.2,621.71,25 x 25,32 x 32,0.424995,1.28
KK-Nail_11,435.19,621.71,25 x 25,32 x 32,0.424994,1.28
KK-Nail_12,442.2,631.71,26 x 26,32 x 32,0.431833,1.2308
KK-Nail_13,442.94,632.77,26 x 26,32 x 32,0.432557,1.2308
KK-Nail_14,445.11,635.87,26 x 26,32 x 32,0.434674,1.2308
KK-Nail_15,448.51,640.73,26 x 26,32 x 32,0.437997,1.2308
KK-Nail_2,436.58,623.69,25 x 25,32 x 32,0.426352,1.28
KK-Nail_3,436.58,623.69,25 x 25,32 x 32,0.426352,1.28
KK-Nail_4,441.79,631.13,26 x 26,32 x 32,0.431436,1.2308
KK-Nail_5,441.79,631.13,26 x 26,32 x 32,0.431437,1.2308
KK-Nail_6,447.75,639.64,26 x 26,32 x 32,0.437255,1.2308
KK-Nail_7,447.75,639.64,26 x 26,32 x 32,0.437255,1.2308
KK-Nail_8,433.46,619.23,25 x 25,32 x 32,0.423301,1.28
KK-Nail_9,433.46,619.23,25 x 25,32 x 32,0.423303,1.28
KK-PortholeFrame,13461.72,19231.03,323 x 323,256 x 256,0.20541,0.7913
KK-PortholeWindow,5432.69,7760.98,89 x 89,64 x 64,1.32634,0.7191
KK-RearDoor,32288.54,46126.49,272 x 272,256 x 256,0.492684,0.938
KK-RearDoorFrame,35584.17,50834.53,655 x 655,512 x 512,0.135743,0.7809
KK-RearDoorPorthole,2739.79,3913.99,144 x 144,128 x 128,0.167224,0.8848
KK-RearWall,255702.14,365288.77,960 x 960,1024 x 1024,0.243857,1.0661
KK-RoofPlank_0,124775.62,178250.89,965 x 965,1024 x 1024,0.118995,1.0601
KK-RoofPlank_1,75896.56,108423.66,617 x 617,512 x 512,0.289522,0.8285
KK-RoofPlank_10,76219.66,108885.22,627 x 627,512 x 512,0.290755,0.8154
KK-RoofPlank_11,43776.63,62538.05,353 x 353,256 x 256,0.667978,0.7232
KK-RoofPlank_12,129541.28,185058.97,968 x 968,1024 x 1024,0.12354,1.0576
KK-RoofPlank_2,43911.68,62730.97,357 x 357,256 x 256,0.670039,0.7154
KK-RoofPlank_3,85176.6,121680.87,655 x 655,512 x 512,0.324923,0.7815
