NODE NAME,GEOMETRY AREA,PIXELS AREA,TEXTURE SIZE,NEAREST POW 2,USED UV AREA,OPTIMAL DENSITY
Door,30550.18,43643.11,237 x 237,256 x 256,0.466159,1.0757
Headlight_0,1539.05,2198.64,51 x 51,64 x 64,0.375744,1.2406
Headlight_1,1360.90,1944.15,48 x 48,64 x 64,0.332252,1.3118
HeadlightHousing_0,5854.65,8363.79,96 x 96,128 x 128,0.357340,1.3319
HeadlightHousing_1,6462.81,9232.58,101 x 101,128 x 128,0.394458,1.2638
Horn,29491.16,42130.23,206 x 206,256 x 256,0.449999,1.2427
NOWASH_CONTOUR,1621964.81,2317092.62,1523 x 1523,1024 x 1024,1.546826,0.6724
PanelBase_0,147110.32,210157.60,737 x 737,512 x 512,0.561181,0.6941
PanelBase_1,154706.20,221008.86,738 x 738,512 x 512,0.590157,0.6933
PanelCenter_0,65005.88,92865.54,374 x 374,256 x 256,0.991911,0.6829
PanelCenter_1,73107.48,104439.26,377 x 377,256 x 256,1.115532,0.6787
PanelCenter_2,78958.19,112797.41,423 x 423,512 x 512,0.301202,1.2094
PanelCenter_3,88058.10,125797.29,421 x 421,512 x 512,0.335915,1.2146
PanelFront_0,47051.33,67216.18,397 x 397,512 x 512,0.179487,1.2894
PanelFront_1,47884.57,68406.53,397 x 397,512 x 512,0.182665,1.2892
PanelRear_0,41917.31,59881.87,366 x 366,256 x 256,0.639607,0.6984
PanelRear_1,41596.67,59423.82,369 x 369,256 x 256,0.634715,0.6938
PanelRear_2,42933.13,61333.05,284 x 284,256 x 256,0.655108,0.9011
PanelRear_3,42931.20,61330.28,284 x 284,256 x 256,0.655078,0.8999
PanelTail_0,27876.34,39823.34,283 x 283,256 x 256,0.425359,0.9033
PanelTail_1,27754.81,39649.73,284 x 284,256 x 256,0.423505,0.9003
PanelTailTip_0,9794.00,13991.43,154 x 154,128 x 128,0.597778,0.8258
PanelTailTip_1,9849.09,14070.13,153 x 153,128 x 128,0.601141,0.8328
PanelTailTip_2,6247.37,8924.82,151 x 151,128 x 128,0.381309,0.8425
PanelTailTip_3,6237.86,8911.23,152 x 152,128 x 128,0.380729,0.8396
PanelTailTip_4,7752.24,11074.63,106 x 106,128 x 128,0.473159,1.2075
PanelTailTip_5,7841.11,11201.58,106 x 106,128 x 128,0.478583,1.2075
PortholeFrame_0,9044.62,12920.89,175 x 175,128 x 128,0.552040,0.7278
PortholeFrame_1,9329.00,13327.15,200 x 200,256 x 256,0.142349,1.2796
PortholeFrame_2,10010.06,14300.09,166 x 166,128 x 128,0.610966,0.7701
PortholeFrame_3,9912.33,14160.47,197 x 197,256 x 256,0.151250,1.2989
PortholeFrame_4,10797.81,15425.44,179 x 179,128 x 128,0.659046,0.7149
PortholeFrame_5,10668.60,15240.86,210 x 210,256 x 256,0.162790,1.2173
PortholeFrame_6,11456.91,16367.02,216 x 216,256 x 256,0.174819,1.1831
PortholeFrame_7,11128.89,15898.41,216 x 216,256 x 256,0.169813,1.1821
PortholeFrame_8,10235.01,14621.44,212 x 212,256 x 256,0.156174,1.2061
PortholeFrame_9,10350.51,14786.44,220 x 220,256 x 256,0.157936,1.1617
PortholeWindow_0,2800.94,4001.35,70 x 70,64 x 64,0.683824,0.9143
PortholeWindow_1,2854.36,4077.66,70 x 70,64 x 64,0.696865,0.9057
PortholeWindow_2,2705.02,3864.31,68 x 68,64 x 64,0.660405,0.9300
PortholeWindow_3,2757.61,3939.44,69 x 69,64 x 64,0.673245,0.9211
PortholeWindow_4,3139.96,4485.65,74 x 74,64 x 64,0.766591,0.8632
PortholeWindow_5,3139.96,4485.65,74 x 74,64 x 64,0.766591,0.8632
PortholeWindow_6,3259.16,4655.94,76 x 76,64 x 64,0.795692,0.8354
PortholeWindow_7,3259.16,4655.94,76 x 76,64 x 64,0.795692,0.8354
PortholeWindow_8,2965.32,4236.17,74 x 74,64 x 64,0.723955,0.8552
