NODE NAME,GEOMETRY AREA,PIXELS AREA,TEXTURE SIZE,NEAREST POW 2,USED UV AREA,OPTIMAL DENSITY
Bow,52116.99,74452.84,297 x 297,256 x 256,0.795242,0.8612
BowOrnament,1269.76,1813.94,43 x 43,32 x 32,1.239997,0.7442
BrakeLight_0,1702.81,2432.59,50 x 50,64 x 64,0.415725,1.2800
BrakeLight_1,1702.81,2432.59,50 x 50,64 x 64,0.415725,1.2800
Dashboard,22242.82,31775.46,219 x 219,256 x 256,0.339398,1.1666
Door_0,16145.69,23065.28,152 x 152,128 x 128,0.985455,0.8421
Door_1,16145.69,23065.28,152 x 152,128 x 128,0.985455,0.8421
DoorHandle_0,311.29,444.70,70 x 70,64 x 64,0.075998,0.9125
DoorHandle_1,311.29,444.70,70 x 70,64 x 64,0.075998,0.9126
Footwell_0,8155.56,11650.80,108 x 108,128 x 128,0.497776,1.1852
Footwell_1,8155.56,11650.80,108 x 108,128 x 128,0.497776,1.1852
Gauge_0,317.34,453.34,22 x 22,16 x 16,1.239613,0.7273
Gauge_1,173.29,247.56,16 x 16,16 x 16,0.676933,1.0000
Gauge_2,183.24,261.77,17 x 17,16 x 16,0.715788,0.9412
Gauge_3,320.48,457.82,22 x 22,16 x 16,1.251859,0.7273
Gearstick,396.18,565.97,25 x 25,32 x 32,0.386897,1.2544
GearstickMount,7929.49,11327.85,108 x 108,128 x 128,0.483978,1.1827
HullRear_0,9323.62,13319.45,116 x 116,128 x 128,0.569068,1.1034
HullRear_1,9323.62,13319.45,116 x 116,128 x 128,0.569068,1.1034
HullSide_0,80928.19,115611.70,578 x 578,512 x 512,0.308717,0.8858
HullSide_1,80928.19,115611.70,578 x 578,512 x 512,0.308717,0.8858
Keel,25231.13,36044.47,346 x 346,256 x 256,0.384996,0.7392
Motor,23061.83,32945.47,305 x 305,256 x 256,0.351896,0.8375
Propeller,8238.10,11768.72,109 x 109,128 x 128,0.502814,1.1743
Radio,800.88,1144.12,41 x 41,32 x 32,0.782112,0.7770
RocketBooster,7298.37,10426.24,103 x 103,128 x 128,0.445457,1.2427
Seat,45279.41,64684.88,255 x 255,256 x 256,0.690909,1.0039
SteeringWheel,2614.70,3735.29,62 x 62,64 x 64,0.638356,1.0257
Stern,24228.79,34612.55,261 x 261,256 x 256,0.369702,0.9805
Wheel_0,5690.61,8129.44,151 x 151,128 x 128,0.347327,0.8426
Wheel_1,5690.61,8129.44,151 x 151,128 x 128,0.347327,0.8426
Wheel_2,5018.54,7169.34,114 x 114,128 x 128,0.306307,1.1186
Windshield,27588.60,39412.29,288 x 288,256 x 256,0.420969,0.8876
