NODE NAME,GEOMETRY AREA,PIXELS AREA,TEXTURE SIZE,NEAREST POW 2,USED UV AREA,OPTIMAL DENSITY
CeilingChute,161724.9,231035.58,628 x 628,512 x 512,0.616932,0.8148
ChemistryBeaker_0,1273.97,1819.95,45 x 45,32 x 32,1.244108,0.6967
ChemistryBeaker_1,2704.32,3863.32,67 x 67,64 x 64,0.660235,0.9515
ChemistryConicalFlask,2445.3,3493.28,64 x 64,64 x 64,0.596996,0.9869
ChemistryFlask_0,5647.19,8067.42,104 x 104,128 x 128,0.344677,1.2295
ChemistryFlask_1,5744.53,8206.47,105 x 105,128 x 128,0.350618,1.2169
ChemistryFlaskHose,993.86,1419.8,106 x 106,128 x 128,0.06066,1.1971
ChemistryFlaskSuspended,8309.34,11870.48,109 x 109,128 x 128,0.507162,1.1743
ChemistryLabChair,26715.9,38165.58,196 x 196,256 x 256,0.407652,1.3061
ChemistryLabOverheadLamp,38390.72,54843.88,239 x 239,256 x 256,0.585796,1.0686
ChemistryLabOverheadLampBulb,2027.04,2895.78,56 x 56,64 x 64,0.494883,1.1254
ChemistryLabTable,215396.34,307709.07,574 x 574,512 x 512,0.821672,0.8916
ChemistryTubes_0,11240.48,16057.82,127 x 127,128 x 128,0.686064,1.0079
ChemistryTubes_1,23402.21,33431.73,183 x 183,128 x 128,1.428357,0.6995
ComputerAlarmLight,1461.07,2087.24,85 x 85,64 x 64,0.356706,0.7469
ComputerCable,46537.76,66482.52,258 x 258,256 x 256,0.71011,0.9922
ComputerChair,29055.4,41507.72,204 x 204,256 x 256,0.44335,1.2549
ComputerConsole,251744.95,359635.65,607 x 607,512 x 512,0.960331,0.8428
ComputerConsoleButton_0,1328.87,1898.38,83 x 83,64 x 64,0.32443,0.7673
ComputerConsoleButton_1,1328.87,1898.38,83 x 83,64 x 64,0.324431,0.7674
ComputerConsoleButton_2,1328.87,1898.38,83 x 83,64 x 64,0.32443,0.7673
ComputerConsoleButtonBoard_0,1646.92,2352.74,71 x 71,64 x 64,0.402079,0.8976
ComputerConsoleButtonBoard_1,1646.92,2352.74,71 x 71,64 x 64,0.40208,0.8976
ComputerConsoleButtonBoard_2,1646.92,2352.74,71 x 71,64 x 64,0.40208,0.8976
ComputerConsoleButtonBoard_3,2137.99,3054.28,60 x 60,64 x 64,0.521971,1.0576
ComputerConsoleButtonBoard_4,2149.94,3071.34,60 x 60,64 x 64,0.524887,1.0546
ComputerConsoleGauge_0,1373.93,1962.76,52 x 52,64 x 64,0.335432,1.2141
ComputerConsoleGauge_1,1372.7,1961,52 x 52,64 x 64,0.335131,1.2147
ComputerConsoleLever_0,3454.14,4934.49,71 x 71,64 x 64,0.843296,0.9014
