NODE NAME,GEOMETRY AREA,PIXELS AREA,TEXTURE SIZE,NEAREST POW 2,USED UV AREA,OPTIMAL DENSITY
Bonnet,12763.80,18234.00,136 x 136,128 x 128,0.779040,0.9412
BrakeLight_0,982.87,1404.10,73 x 73,64 x 64,0.239958,0.8661
BrakeLight_1,982.87,1404.10,73 x 73,64 x 64,0.239958,0.8661
BunBottom,60183.67,85976.67,491 x 491,512 x 512,0.229582,1.0427
BunTop,114595.91,163708.45,836 x 836,1024 x 1024,0.109287,1.2244
Cheese_0,3730.22,5328.88,114 x 114,128 x 128,0.227675,1.1225
Cheese_1,3347.80,4782.57,105 x 105,128 x 128,0.204333,1.2094
Cheese_2,3597.72,5139.60,113 x 113,128 x 128,0.219587,1.1276
Cheese_3,3418.03,4882.91,100 x 100,128 x 128,0.208620,1.2732
Dashboard,13043.93,18634.19,211 x 211,256 x 256,0.199035,1.2076
DashboardDial_0,54.66,78.09,9 x 9,8 x 8,0.854117,0.8889
DashboardDial_1,56.20,80.29,9 x 9,8 x 8,0.878152,0.8889
DashboardGaugeLarge_0,274.51,392.15,20 x 20,16 x 16,1.072297,0.8000
DashboardGaugeLarge_1,202.12,288.74,17 x 17,16 x 16,0.789529,0.9412
DashboardGaugeSmall_0,69.85,99.79,10 x 10,8 x 8,1.091445,0.8000
DashboardGaugeSmall_1,69.39,99.12,10 x 10,8 x 8,1.084144,0.8000
DashboardGaugeSmall_2,67.48,96.40,10 x 10,8 x 8,1.054407,0.8000
EngineBay,13786.75,19695.36,141 x 141,128 x 128,0.841477,0.9078
EngineDial_0,54.10,77.29,9 x 9,8 x 8,0.845327,0.8889
EngineDial_1,54.10,77.29,9 x 9,8 x 8,0.845328,0.8889
EngineDial_2,54.10,77.29,9 x 9,8 x 8,0.845328,0.8889
EngineDial_3,54.10,77.29,9 x 9,8 x 8,0.845328,0.8889
EngineDistributor_0,1860.10,2657.29,52 x 52,64 x 64,0.454126,1.2308
EngineDistributor_1,1851.63,2645.19,52 x 52,64 x 64,0.452058,1.2308
EngineDistributorHolder_0,793.56,1133.66,34 x 34,32 x 32,0.774965,0.9412
EngineDistributorHolder_1,793.56,1133.66,34 x 34,32 x 32,0.774966,0.9412
EngineFilter,2220.91,3172.73,57 x 57,64 x 64,0.542214,1.1228
EngineFryer,4523.80,6462.57,81 x 81,64 x 64,1.104443,0.7901
EngineFryerBasket_0,508.46,726.37,79 x 79,64 x 64,0.124135,0.8057
EngineFryerBasket_1,508.46,726.37,79 x 79,64 x 64,0.124135,0.8057
EngineGauge,102.42,146.32,13 x 13,16 x 16,0.400090,1.2308
EnginePump_0,1393.78,1991.12,45 x 45,32 x 32,1.361117,0.7111
EnginePump_1,1097.55,1567.93,40 x 40,32 x 32,1.071827,0.8000
Flag,2336.34,3337.63,107 x 107,128 x 128,0.142599,1.1856
FlagPole,3278.48,4683.55,213 x 213,256 x 256,0.050026,1.1976
Footwell,12513.82,17876.88,141 x 141,128 x 128,0.763783,0.9023
Gearstick,643.87,919.81,31 x 31,32 x 32,0.628779,1.0323
GearstickMount,4069.99,5814.27,77 x 77,64 x 64,0.993650,0.8312
GrilledSeats,38303.90,54719.85,300 x 300,256 x 256,0.584471,0.8510
Headlight_0,2178.26,3111.80,89 x 89,64 x 64,0.531802,0.7114
Headlight_1,2178.26,3111.80,89 x 89,64 x 64,0.531802,0.7114
Ignition,193.70,276.71,17 x 17,16 x 16,0.756632,0.9412
Lettuce,59820.72,85458.17,510 x 510,512 x 512,0.228198,1.0024
NumberPlate_0,2792.02,3988.60,68 x 68,64 x 64,0.681646,0.9377
NumberPlate_1,1544.81,2206.87,59 x 59,64 x 64,0.377151,1.0785
Patty,79832.23,114046.04,537 x 537,512 x 512,0.304536,0.9533
Pickle_0,5129.24,7327.49,159 x 159,128 x 128,0.313064,0.8020
Pickle_1,5129.24,7327.49,159 x 159,128 x 128,0.313064,0.8020
Pickle_2,5129.24,7327.49,159 x 159,128 x 128,0.313064,0.8020
Pickle_3,5129.24,7327.49,159 x 159,128 x 128,0.313064,0.8020
Propeller,4459.45,6370.64,80 x 80,64 x 64,1.088733,0.8000
Spatula,483.66,690.95,39 x 39,32 x 32,0.472326,0.8040
SteeringWheel,1648.13,2354.48,49 x 49,64 x 64,0.402376,1.3061
Throttle,406.22,580.31,26 x 26,32 x 32,0.396697,1.2019
Windshield,12103.55,17290.78,187 x 187,128 x 128,0.738742,0.6825
