NODE NAME,GEOMETRY AREA,PIXELS AREA,TEXTURE SIZE,NEAREST POW 2,USED UV AREA,OPTIMAL DENSITY
SH-Bicycle,52214.41,74592.02,274 x 274,256 x 256,0.796729,0.9343
SH-Brow,126326.02,180465.74,640 x 640,512 x 512,0.481896,0.7988
SH-Door,47470.95,67815.65,302 x 302,256 x 256,0.724349,0.8462
SH-DoorAlcove,22559.06,32227.22,680 x 680,512 x 512,0.086056,0.7524
SH-DoorKnob,1201.99,1717.13,43 x 43,32 x 32,1.173821,0.7350
SH-Ear_0,113431.10,162044.43,499 x 499,512 x 512,0.432705,1.0258
SH-Ear_1,113430.88,162044.11,498 x 498,512 x 512,0.432704,1.0270
SH-Head,1919399.32,2741999.08,1819 x 1819,2048 x 2048,0.457620,1.1253
SH-Nose,82904.71,118435.30,345 x 345,256 x 256,1.265025,0.7420
SH-PortholeFrame_0,30514.17,43591.67,423 x 423,512 x 512,0.116402,1.2087
SH-PortholeFrame_1,30403.61,43433.72,430 x 430,512 x 512,0.115981,1.1900
SH-PortholeWindow_0,6041.87,8631.25,93 x 93,64 x 64,1.475067,0.6882
SH-PortholeWindow_1,6041.87,8631.25,93 x 93,64 x 64,1.475067,0.6882
SH-RearWindow,22141.93,31631.33,178 x 178,128 x 128,1.351436,0.7191
SH-RearWindowFrame,40183.47,57404.97,474 x 474,512 x 512,0.153288,1.0795
SH-Roof,143740.40,205343.44,454 x 454,512 x 512,0.548326,1.1278
SH-RoofChair,67536.87,96481.25,311 x 311,256 x 256,1.030531,0.8232
SH-Step_0,6023.02,8604.32,146 x 146,128 x 128,0.367616,0.8726
SH-Step_1,5746.10,8208.71,146 x 146,128 x 128,0.350714,0.8715
SH-Step_2,6210.18,8871.68,146 x 146,128 x 128,0.379039,0.8725
SH-Step_3,6422.82,9175.46,146 x 146,128 x 128,0.392018,0.8736
